N,depth,density,distance
1,11,0.0,1257
2,11,0.0,197
3,11,0.0,459
4,11,0.0,743
5,11,0.0,1217
6,11,0.0,344
7,11,0.0,901
8,11,0.0,161
9,11,0.0,535
10,11,0.0,204
11,11,0.0,843
12,11,0.0,493
13,11,0.0,283
14,11,0.0,580
15,11,0.0,592
16,11,0.0,536
17,11,0.0,1086
18,11,0.0,1377
19,11,0.0,459
20,11,0.0,612
21,11,0.0,1025
22,11,0.0,434
23,11,0.0,635
24,11,0.0,593
25,11,0.0,682
26,11,0.0,753
27,11,0.0,175
28,11,0.0,624
29,11,0.0,1087
30,11,0.0,346
31,11,0.0,982
32,11,0.0,508
33,11,0.0,593
34,11,0.0,1078
35,11,0.0,616
36,11,0.0,672
37,11,0.0,387
38,11,0.0,901
39,11,0.0,281
40,11,0.0,80
41,11,0.0,317
42,11,0.0,456
43,11,0.0,885
44,11,0.0,859
45,11,0.0,359
46,11,0.0,793
47,11,0.0,1388
48,11,0.0,662
49,11,0.0,118
50,11,0.0,863
51,11,0.0,309
52,11,0.0,567
53,11,0.0,657
54,11,0.0,1472
55,11,0.0,63
56,11,0.0,939
57,11,0.0,271
58,11,0.0,345
59,11,0.0,111
60,11,0.0,1060
61,11,0.0,126
62,11,0.0,527
63,11,0.0,889
64,11,0.0,839
65,11,0.0,277
66,11,0.0,1255
67,11,0.0,985
68,11,0.0,612
69,11,0.0,1094
70,11,0.0,733
71,11,0.0,368
72,11,0.0,547
73,11,0.0,413
74,11,0.0,964
75,11,0.0,413
76,11,0.0,323
77,11,0.0,1129
78,11,0.0,349
79,11,0.0,1116
80,11,0.0,748
81,11,0.0,431
82,11,0.0,616
83,11,0.0,229
84,11,0.0,1158
85,11,0.0,711
86,11,0.0,458
87,11,0.0,554
88,11,0.0,476
89,11,0.0,16
90,11,0.0,229
91,11,0.0,737
92,11,0.0,141
93,11,0.0,488
94,11,0.0,401
95,11,0.0,313
96,11,0.0,499
97,11,0.0,1051
98,11,0.0,1363
99,11,0.0,933
100,11,0.0,850
101,11,0.01,757
102,11,0.01,109
103,11,0.01,955
104,11,0.01,48
105,11,0.01,1329
106,11,0.01,454
107,11,0.01,656
108,11,0.01,921
109,11,0.01,275
110,11,0.01,678
111,11,0.01,1080
112,11,0.01,658
113,11,0.01,549
114,11,0.01,517
115,11,0.01,1624
116,11,0.01,836
117,11,0.01,257
118,11,0.01,617
119,11,0.01,1214
120,11,0.01,773
121,11,0.01,345
122,11,0.01,966
123,11,0.01,584
124,11,0.01,790
125,11,0.01,1483
126,11,0.01,396
127,11,0.01,447
128,11,0.01,643
129,11,0.01,867
130,11,0.01,760
131,11,0.01,988
132,11,0.01,405
133,11,0.01,506
134,11,0.01,1196
135,11,0.01,588
136,11,0.01,1116
137,11,0.01,736
138,11,0.01,187
139,11,0.01,279
140,11,0.01,717
141,11,0.01,1019
142,11,0.01,354
143,11,0.01,61
144,11,0.01,725
145,11,0.01,1308
146,11,0.01,730
147,11,0.01,330
148,11,0.01,566
149,11,0.01,502
150,11,0.01,599
151,11,0.01,690
152,11,0.01,463
153,11,0.01,201
154,11,0.01,735
155,11,0.01,740
156,11,0.01,975
157,11,0.01,1462
158,11,0.01,813
159,11,0.01,869
160,11,0.01,665
161,11,0.01,733
162,11,0.01,886
163,11,0.01,798
164,11,0.01,666
165,11,0.01,488
166,11,0.01,308
167,11,0.01,371
168,11,0.01,402
169,11,0.01,1019
170,11,0.01,771
171,11,0.01,620
172,11,0.01,791
173,11,0.01,245
174,11,0.01,1099
175,11,0.01,279
176,11,0.01,901
177,11,0.01,628
178,11,0.01,69
179,11,0.01,494
180,11,0.01,687
181,11,0.01,396
182,11,0.01,585
183,11,0.01,412
184,11,0.01,752
185,11,0.01,1002
186,11,0.01,572
187,11,0.01,453
188,11,0.01,1265
189,11,0.01,783
190,11,0.01,577
191,11,0.01,784
192,11,0.01,1032
193,11,0.01,315
194,11,0.01,748
195,11,0.01,285
196,11,0.01,963
197,11,0.01,289
198,11,0.01,638
199,11,0.01,717
200,11,0.01,392
201,11,0.02,1380
202,11,0.02,962
203,11,0.02,1045
204,11,0.02,1177
205,11,0.02,1185
206,11,0.02,837
207,11,0.02,247
208,11,0.02,1598
209,11,0.02,417
210,11,0.02,213
211,11,0.02,255
212,11,0.02,987
213,11,0.02,1601
214,11,0.02,288
215,11,0.02,563
216,11,0.02,776
217,11,0.02,773
218,11,0.02,470
219,11,0.02,953
220,11,0.02,688
221,11,0.02,613
222,11,0.02,1113
223,11,0.02,687
224,11,0.02,494
225,11,0.02,381
