alg,path_len,visited_points,queue_rest_size,time_ms,N
astar,2209,6625,4416,30.614852905273438,1
castar,2209,6625,4416,27.962207794189453,1
hastar,10,331,321,2.8018951416015625,1
astar,2266,6796,4530,32.96613693237305,2
castar,2266,6796,4530,28.815031051635742,2
hastar,8,242,234,2.0711421966552734,2
astar,516,59656,1006,546.3438034057617,3
castar,522,1557,1029,6.691932678222656,3
hastar,90,970,880,12.611865997314453,3
astar,2000,853206,12107,8824.28503036499,4
castar,2018,5988,3962,26.247262954711914,4
hastar,355,3817,3462,47.58715629577637,4
astar,2588,13380,10469,101.69529914855957,5
castar,2606,7687,5023,33.188819885253906,5
hastar,553,4912,4359,64.69869613647461,5
astar,1219,56966,2364,504.49419021606445,6
castar,1233,3664,2396,15.853166580200195,6
hastar,336,2951,2612,39.10994529724121,6
astar,787,58582,2980,537.560224533081,7
castar,801,2561,1698,12.865781784057617,7
hastar,294,2187,1884,32.887935638427734,7
astar,2023,23289,19631,231.13417625427246,8
castar,2053,6395,4184,31.529903411865234,8
hastar,626,4772,4142,65.47689437866211,8
astar,1804,583062,4219,5810.188055038452,9
castar,1818,5328,3392,24.850130081176758,9
hastar,550,3942,3392,55.416107177734375,9
astar,1739,51248,43996,557.5859546661377,10
castar,1793,6099,3724,33.25390815734863,10
hastar,754,4931,4163,74.41520690917969,10
astar,1200,4942,3446,34.60288047790527,11
castar,1210,3944,2439,21.66008949279785,11
hastar,429,2750,2315,39.363861083984375,11
astar,283,2188,1721,19.140958786010742,12
castar,291,934,599,4.565954208374023,12
hastar,128,800,667,12.223958969116211,12
astar,1338,55004,44655,622.6291656494141,13
castar,1380,6100,3492,44.603824615478516,13
hastar,671,3826,3123,55.57894706726074,13
astar,1865,7519,5178,50.79293251037598,14
castar,1873,5499,3543,27.58002281188965,14
hastar,833,4830,3987,70.65200805664062,14
astar,1525,404926,26907,4193.490982055664,15
castar,1539,5824,3433,43.78008842468262,15
hastar,639,3525,2882,54.92997169494629,15
astar,2134,29388,22430,312.4988079071045,16
castar,2166,8263,4993,65.78707695007324,16
hastar,966,5256,4286,84.75303649902344,16
astar,1188,42646,1965,393.20826530456543,17
castar,1214,9428,4288,116.68705940246582,17
