alg,path_len,visited_points,queue_rest_size,time_ms,N
astar,1258,3772,2514,15.520095825195312,1
castar,1258,3772,2514,14.757156372070312,1
hastar,1258,3772,2514,32.96303749084473,1
astar,198,592,394,2.385377883911133,2
castar,198,592,394,2.193927764892578,2
hastar,198,592,394,4.920721054077148,2
astar,460,1378,918,5.509853363037109,3
castar,460,1378,918,5.28407096862793,3
hastar,460,1378,918,11.29007339477539,3
astar,744,40016,1487,321.3331699371338,4
castar,744,2230,1486,8.885860443115234,4
hastar,744,40016,1487,518.6038017272949,4
astar,1218,367284,2436,3306.969165802002,5
castar,1218,3652,2434,14.369010925292969,5
hastar,1218,367284,2436,5180.154085159302,5
astar,345,1033,688,4.1179656982421875,6
castar,345,1033,688,3.8518905639648438,6
hastar,345,1033,688,8.832931518554688,6
astar,902,2704,1802,11.383056640625,7
castar,902,2704,1802,10.257959365844727,7
hastar,902,2704,1802,23.814916610717773,7
astar,162,1564,324,10.259866714477539,8
castar,162,484,322,1.7919540405273438,8
hastar,162,1564,324,16.821861267089844,8
astar,536,1606,1070,6.679773330688477,9
castar,536,1606,1070,6.0138702392578125,9
hastar,536,1606,1070,13.87166976928711,9
astar,205,613,408,2.4461746215820312,10
castar,205,613,408,2.263784408569336,10
hastar,205,613,408,5.254268646240234,10
astar,844,147252,1688,1254.8651695251465,11
castar,844,2530,1686,9.932994842529297,11
hastar,844,147252,1688,1967.4038887023926,11
astar,494,1480,986,5.91278076171875,12
castar,494,1480,986,5.522012710571289,12
hastar,494,1480,986,12.668371200561523,12
astar,284,4872,568,36.476850509643555,13
castar,284,850,566,3.3028125762939453,13
hastar,284,4872,568,56.95223808288574,13
astar,581,79282,1162,664.1490459442139,14
castar,581,1741,1160,6.810903549194336,14
hastar,581,79282,1162,1046.342134475708,14
astar,593,8739,1186,62.046051025390625,15
castar,593,1777,1184,6.824970245361328,15
hastar,593,8739,1186,104.0647029876709,15
astar,537,1609,1072,6.6089630126953125,16
castar,537,1609,1072,6.161212921142578,16
hastar,537,1609,1072,13.485908508300781,16
astar,1087,251984,2173,2226.1760234832764,17
castar,1087,3259,2172,12.894153594970703,17
hastar,1087,251984,2173,3480.3011417388916,17
astar,1378,4132,2754,16.787052154541016,18
castar,1378,4132,2754,15.865087509155273,18
hastar,1378,4132,2754,36.1638069152832,18
astar,460,1378,918,5.738973617553711,19
castar,460,1378,918,5.456686019897461,19
hastar,460,1378,918,11.670827865600586,19
astar,613,50954,1226,415.30299186706543,20
castar,613,1837,1224,7.281064987182617,20
