N,depth,density,distance
279,7,0.0,65
280,7,0.0,75
281,7,0.0,62
282,7,0.0,19
283,7,0.0,60
284,7,0.0,22
285,7,0.0,31
286,7,0.0,29
287,7,0.0,48
288,7,0.0,96
289,7,0.0,11
290,7,0.0,9
291,7,0.0,84
292,7,0.0,15
293,7,0.0,65
294,7,0.0,35
295,7,0.0,40
296,7,0.0,73
297,7,0.0,25
298,7,0.0,16
299,7,0.0,36
300,7,0.0,47
301,7,0.0,100
302,7,0.0,26
303,7,0.0,41
304,7,0.0,94
305,7,0.0,33
306,7,0.0,56
307,7,0.0,15
308,7,0.0,39
309,7,0.0,27
310,7,0.0,32
311,7,0.0,28
312,7,0.0,24
313,7,0.0,58
314,7,0.0,43
315,7,0.0,68
316,7,0.0,46
317,7,0.0,37
318,7,0.0,29
319,7,0.0,39
320,7,0.0,66
321,7,0.0,25
322,7,0.0,71
323,7,0.0,60
324,7,0.0,54
325,7,0.0,49
326,7,0.0,34
327,7,0.0,26
328,7,0.0,58
329,7,0.0,28
330,7,0.0,43
331,7,0.0,46
332,7,0.0,17
333,7,0.0,46
334,7,0.0,48
335,7,0.0,62
336,7,0.0,31
337,7,0.0,37
338,7,0.0,51
339,7,0.0,24
340,7,0.0,18
341,7,0.0,50
342,7,0.0,51
343,7,0.0,13
344,7,0.0,65
345,7,0.0,53
346,7,0.0,44
347,7,0.0,36
348,7,0.0,42
349,7,0.0,31
350,7,0.0,72
351,7,0.0,25
352,7,0.0,66
353,7,0.0,27
354,7,0.0,46
355,7,0.0,10
356,7,0.0,36
357,7,0.0,13
358,7,0.0,18
359,7,0.0,54
360,7,0.0,19
361,7,0.0,61
362,7,0.0,33
363,7,0.0,37
364,7,0.0,38
365,7,0.0,33
366,7,0.0,30
367,7,0.0,17
368,7,0.0,73
369,7,0.0,58
370,7,0.0,66
371,7,0.0,39
372,7,0.0,52
373,7,0.0,18
374,7,0.0,12
375,7,0.0,45
376,7,0.0,42
377,7,0.0,93
378,7,0.0,35
379,7,0.0,41
380,7,0.0,57
381,7,0.0,51
382,7,0.0,83
383,7,0.0,50
384,7,0.0,70
385,7,0.0,58
386,7,0.0,20
387,7,0.0,61
388,7,0.0,35
389,7,0.0,24
390,7,0.0,55
391,7,0.0,50
392,7,0.0,34
393,7,0.0,42
394,7,0.0,79
395,7,0.0,77
396,7,0.0,70
397,7,0.0,11
398,7,0.0,52
399,7,0.0,55
400,7,0.0,46
401,7,0.0,75
402,7,0.0,12
403,7,0.0,62
404,7,0.0,18
405,7,0.0,45
406,7,0.0,65
407,7,0.0,59
408,7,0.0,64
409,7,0.0,53
410,7,0.0,55
411,7,0.0,55
412,7,0.0,11
413,7,0.0,17
414,7,0.0,68
415,7,0.0,80
416,7,0.0,32
417,7,0.0,49
418,7,0.0,57
419,7,0.0,52
420,7,0.0,18
421,7,0.0,35
422,7,0.0,18
423,7,0.0,44
424,7,0.0,47
425,7,0.0,9
426,7,0.0,73
427,7,0.0,36
428,7,0.0,25
429,7,0.0,24
430,7,0.0,41
431,7,0.0,20
432,7,0.0,35
433,7,0.0,5
434,7,0.0,29
435,7,0.0,14
436,7,0.0,57
437,7,0.0,76
438,7,0.0,77
439,7,0.0,40
440,7,0.0,36
441,7,0.0,61
442,7,0.0,61
443,7,0.0,44
444,7,0.0,55
445,7,0.0,65
446,7,0.0,42
447,7,0.0,46
448,7,0.0,67
449,7,0.0,99
450,7,0.0,15
451,7,0.0,27
452,7,0.0,50
453,7,0.0,46
454,7,0.0,105
455,7,0.0,53
456,7,0.0,25
457,7,0.0,34
458,7,0.0,12
459,7,0.0,46
460,7,0.0,36
461,7,0.0,23
462,7,0.0,15
463,7,0.0,13
464,7,0.0,57
465,7,0.0,17
466,7,0.0,37
467,7,0.0,46
468,7,0.0,33
469,7,0.0,51
470,7,0.0,41
471,7,0.0,102
472,7,0.0,33
473,7,0.0,60
474,7,0.0,52
475,7,0.0,34
476,7,0.0,74
477,7,0.0,39
478,7,0.0,35
479,7,0.0,24
480,7,0.0,33
481,7,0.0,3
482,7,0.0,50
483,7,0.0,41
484,7,0.0,20
485,7,0.0,34
486,7,0.0,51
487,7,0.0,49
488,7,0.0,6
489,7,0.0,19
490,7,0.0,82
491,7,0.0,21
492,7,0.0,55
493,7,0.0,56
494,7,0.0,48
495,7,0.0,52
496,7,0.0,37
497,7,0.0,48
498,7,0.0,23
499,7,0.0,23
500,7,0.0,79
501,7,0.0,28
502,7,0.0,55
503,7,0.0,22
504,7,0.0,32
505,7,0.0,50
506,7,0.0,99
507,7,0.0,71
508,7,0.0,59
509,7,0.0,80
510,7,0.0,34
511,7,0.0,63
512,7,0.0,29
513,7,0.0,58
514,7,0.0,25
515,7,0.0,13
516,7,0.0,23
517,7,0.0,29
518,7,0.0,56
519,7,0.0,8
520,7,0.0,21
521,7,0.0,81
522,7,0.0,48
523,7,0.0,43
524,7,0.0,55
525,7,0.0,45
526,7,0.0,14
527,7,0.0,14
528,7,0.0,60
529,7,0.0,33
530,7,0.0,21
531,7,0.0,33
532,7,0.0,46
533,7,0.0,20
534,7,0.0,28
535,7,0.0,26
536,7,0.0,48
537,7,0.0,54
538,7,0.0,46
539,7,0.0,38
540,7,0.0,60
541,7,0.0,29
542,7,0.0,74
543,7,0.0,39
544,7,0.0,52
