alg,path_len,visited_points,queue_rest_size,time_ms,N
castar,8,22,14,0.09512901306152344,26
hastar,4,58,51,0.4658699035644531,26
astar,5,19,10,0.14209747314453125,27
castar,5,13,8,0.07772445678710938,27
hastar,3,66,57,0.7889270782470703,27
astar,13,56,25,0.3440380096435547,28
castar,13,37,24,0.15211105346679688,28
hastar,4,158,145,1.7218589782714844,28
astar,6,17,11,0.09298324584960938,29
castar,6,17,11,0.07390975952148438,29
hastar,3,51,45,0.46181678771972656,29
astar,9,38,17,0.2090930938720703,30
castar,9,25,16,0.10013580322265625,30
hastar,3,116,108,1.1761188507080078,30
astar,13,36,23,0.15687942504882812,31
castar,13,36,23,0.14901161193847656,31
hastar,3,49,43,0.37384033203125,31
astar,2,5,3,0.0362396240234375,32
castar,2,5,3,0.02384185791015625,32
hastar,2,15,13,0.1049041748046875,32
astar,12,35,23,0.18286705017089844,33
castar,12,35,23,0.14591217041015625,33
hastar,4,71,59,0.6678104400634766,33
astar,10,38,20,0.19407272338867188,34
castar,10,28,18,0.11181831359863281,34
hastar,3,118,100,1.1420249938964844,34
astar,4,8,4,0.04792213439941406,35
castar,4,8,4,0.03981590270996094,35
hastar,3,29,25,0.21886825561523438,35
astar,15,40,25,0.22292137145996094,36
castar,15,40,25,0.21886825561523438,36
hastar,4,103,89,0.9000301361083984,36
astar,8,31,13,0.17499923706054688,37
castar,8,19,11,0.08225440979003906,37
hastar,4,99,81,0.9160041809082031,37
astar,9,38,17,0.21195411682128906,38
castar,9,25,16,0.10585784912109375,38
hastar,5,124,115,1.2218952178955078,38
astar,11,31,20,0.19097328186035156,39
castar,11,31,20,0.12803077697753906,39
hastar,4,34,30,0.2658367156982422,39
astar,13,71,26,0.48804283142089844,40
castar,13,37,24,0.15807151794433594,40
hastar,3,179,134,2.115011215209961,40
astar,3,8,5,0.051975250244140625,41
castar,3,8,5,0.03886222839355469,41
hastar,2,14,12,0.11396408081054688,41
astar,25,194,37,1.461029052734375,42
castar,25,61,36,0.2639293670654297,42
hastar,7,244,128,6.2351226806640625,42
astar,18,63,17,0.49591064453125,43
castar,18,48,30,0.2162456512451172,43
hastar,6,153,107,2.042055130004883,43
astar,16,46,30,0.2319812774658203,44
castar,16,46,30,0.1881122589111328,44
hastar,5,43,38,0.3590583801269531,44
astar,22,152,22,1.112222671508789,45
castar,22,63,41,0.2460479736328125,45
hastar,5,238,108,4.868745803833008,45
astar,10,26,16,0.13303756713867188,46
castar,10,26,16,0.10704994201660156,46
hastar,3,20,17,0.15211105346679688,46
astar,15,40,25,0.1800060272216797,47
castar,15,40,25,0.15926361083984375,47
hastar,6,54,47,0.4150867462158203,47
astar,8,28,15,0.1468658447265625,48
castar,8,22,14,0.08988380432128906,48
hastar,4,90,84,0.7989406585693359,48
astar,10,29,19,0.125885009765625,49
castar,10,29,19,0.11181831359863281,49
hastar,3,26,23,0.19502639770507812,49
astar,8,32,15,0.2422332763671875,50
castar,8,22,14,0.102996826171875,50
hastar,4,108,100,1.1150836944580078,50
astar,16,38,22,0.19502639770507812,51
castar,16,38,22,0.1709461212158203,51
hastar,5,31,26,0.2779960632324219,51
astar,4,11,7,0.06818771362304688,52
castar,4,11,7,0.09918212890625,52
hastar,3,35,31,0.26917457580566406,52
astar,17,49,32,0.2620220184326172,53
castar,17,49,32,0.1919269561767578,53
hastar,6,46,40,0.37288665771484375,53
astar,16,95,31,0.5948543548583984,54
castar,16,46,30,0.18215179443359375,54
hastar,5,193,175,3.259897232055664,54
astar,11,31,20,0.14209747314453125,55
castar,11,31,20,0.1220703125,55
hastar,4,62,54,0.5099773406982422,55
astar,7,26,14,0.1690387725830078,56
castar,7,20,13,0.08296966552734375,56
hastar,4,71,59,0.7128715515136719,56
