alg,path_len,visited_points,queue_rest_size,time_ms,N
astar,577,1729,1152,10.677576065063477,1
castar,577,1729,1152,9.865045547485352,1
hastar,8,204,196,2.03704833984375,1
astar,395,1184,789,5.252838134765625,2
castar,395,1184,789,4.837989807128906,2
hastar,6,137,131,1.0800361633300781,2
astar,228,682,454,2.913236618041992,3
castar,228,682,454,2.701997756958008,3
hastar,6,137,131,1.0571479797363281,3
astar,473,1417,944,6.154060363769531,4
castar,473,1417,944,5.798101425170898,4
hastar,7,180,173,1.4510154724121094,4
astar,301,21287,602,184.0498447418213,5
castar,301,901,600,3.5767555236816406,5
hastar,7,180,173,1.4090538024902344,5
astar,588,67163,1175,624.4068145751953,6
castar,588,1762,1174,7.406949996948242,6
hastar,10,249,239,1.9676685333251953,6
astar,553,1657,1104,7.22813606262207,7
castar,553,1657,1104,6.781101226806641,7
hastar,8,201,193,1.5952587127685547,7
astar,334,28344,668,249.85694885253906,8
castar,334,1000,666,3.9811134338378906,8
hastar,9,238,229,1.8339157104492188,8
astar,537,73419,1074,697.1330642700195,9
castar,537,1609,1072,6.845951080322266,9
hastar,5,113,108,0.9059906005859375,9
astar,231,13629,462,117.93017387390137,10
castar,231,691,460,2.7518272399902344,10
hastar,6,151,145,1.1789798736572266,10
astar,449,42450,879,427.3030757904053,11
castar,449,1321,872,5.545854568481445,11
hastar,83,886,803,9.603261947631836,11
astar,204,1231,401,8.156776428222656,12
castar,204,596,392,2.3577213287353516,12
hastar,45,463,418,5.100011825561523,12
astar,590,1753,1163,7.695198059082031,13
castar,590,1753,1163,7.228851318359375,13
hastar,95,1042,947,11.497020721435547,13
astar,601,60940,1775,573.8286972045898,14
castar,607,1827,1214,8.176803588867188,14
hastar,113,1204,1091,13.238191604614258,14
astar,508,47644,1452,432.0540428161621,15
castar,508,1544,1031,6.710052490234375,15
hastar,77,866,789,9.247064590454102,15
astar,209,619,410,3.0548572540283203,16
castar,209,619,410,2.6519298553466797,16
hastar,40,424,384,4.486083984375,16
astar,252,5128,492,44.046878814697266,17
castar,252,743,491,3.237009048461914,17
hastar,43,496,452,5.630016326904297,17
astar,247,12052,479,109.89689826965332,18
castar,249,729,480,3.1061172485351562,18
hastar,52,572,519,6.256818771362305,18
astar,216,766,537,4.676103591918945,19
castar,218,638,420,3.002166748046875,19
hastar,38,391,353,4.088878631591797,19
astar,534,69132,1721,674.9980449676514,20
