alg,path_len,visited_points,queue_rest_size,time_ms,N
astar,40,89,49,2.3479461669921875,1
castar,40,89,49,2.058744430541992,1
hastar,7,191,176,3.1790733337402344,1
astar,44,130,86,1.0607242584228516,2
castar,44,130,86,0.7600784301757812,2
hastar,5,77,72,0.8947849273681641,2
astar,76,1307,151,15.433073043823242,3
castar,76,226,150,1.6248226165771484,3
hastar,8,3709,3658,86.58194541931152,3
astar,47,501,94,3.615856170654297,4
castar,47,139,92,0.5528926849365234,4
hastar,5,2293,1886,30.167102813720703,4
astar,27,123,50,0.8449554443359375,5
castar,27,78,51,0.3681182861328125,5
hastar,7,720,667,7.179021835327148,5
astar,14,40,26,0.1780986785888672,6
castar,14,40,26,0.1742839813232422,6
hastar,4,55,51,0.44083595275878906,6
astar,36,106,70,0.4971027374267578,7
castar,36,106,70,0.4227161407470703,7
hastar,7,413,381,3.3910274505615234,7
astar,44,130,86,0.6861686706542969,8
castar,44,130,86,0.5648136138916016,8
hastar,5,72,67,0.5612373352050781,8
astar,47,634,93,4.776954650878906,9
castar,47,139,92,0.5450248718261719,9
hastar,8,2468,2444,39.90602493286133,9
astar,68,1192,135,9.200096130371094,10
castar,68,202,134,0.8261203765869141,10
hastar,8,3296,3260,67.57402420043945,10
astar,26,196,51,1.3000965118408203,11
castar,26,76,50,0.29397010803222656,11
hastar,4,1232,1224,13.657093048095703,11
astar,52,149,97,0.6139278411865234,12
castar,52,149,97,0.5810260772705078,12
hastar,7,130,120,0.9732246398925781,12
astar,18,108,35,0.7343292236328125,13
castar,18,52,34,0.2200603485107422,13
hastar,5,684,668,7.145881652832031,13
astar,57,330,114,2.026796340942383,14
castar,57,169,112,0.6690025329589844,14
hastar,7,1762,1546,19.244909286499023,14
astar,40,431,79,3.0651092529296875,15
castar,40,118,78,0.5030632019042969,15
hastar,7,1966,1965,27.532100677490234,15
astar,25,134,49,0.8141994476318359,16
castar,25,73,48,0.2830028533935547,16
hastar,4,655,648,7.517099380493164,16
astar,21,127,42,0.8921623229980469,17
castar,21,61,40,0.2720355987548828,17
hastar,3,772,687,8.078813552856445,17
astar,31,212,61,1.46484375,18
castar,31,91,60,0.3879070281982422,18
hastar,5,1234,1237,13.70096206665039,18
astar,71,211,140,0.8718967437744141,19
castar,71,211,140,0.8127689361572266,19
hastar,7,595,546,5.396127700805664,19
astar,63,187,124,0.7669925689697266,20
castar,63,187,124,0.7231235504150391,20
hastar,6,534,486,5.146026611328125,20
astar,4,12,7,0.07390975952148438,21
castar,4,10,6,0.04696846008300781,21
hastar,3,76,72,0.5588531494140625,21
astar,82,197,115,0.8759498596191406,22
castar,82,197,115,0.820159912109375,22
hastar,8,94,86,0.7307529449462891,22
astar,61,181,120,0.8449554443359375,23
castar,61,181,120,0.7109642028808594,23
hastar,7,172,158,1.394033432006836,23
astar,46,136,90,0.5550384521484375,24
castar,46,136,90,0.5280971527099609,24
hastar,6,85,78,0.6279945373535156,24
astar,41,121,80,0.5679130554199219,25
castar,41,121,80,0.48089027404785156,25
hastar,5,129,120,0.9632110595703125,25
astar,60,918,120,7.320165634155273,26
castar,60,178,118,0.7748603820800781,26
hastar,6,2685,1887,47.361135482788086,26
astar,21,61,40,0.25391578674316406,27
castar,21,61,40,0.2319812774658203,27
hastar,6,86,80,0.6320476531982422,27
astar,57,169,112,0.7181167602539062,28
castar,57,169,112,0.6630420684814453,28
hastar,8,240,224,1.8570423126220703,28
astar,102,2796,203,23.171663284301758,29
castar,102,304,202,1.3310909271240234,29
hastar,10,3936,2209,133.18490982055664,29
astar,43,127,84,0.5049705505371094,30
castar,43,127,84,0.4839897155761719,30
hastar,4,56,52,0.4069805145263672,30
astar,27,79,52,0.3230571746826172,31
castar,27,79,52,0.3058910369873047,31
hastar,7,98,91,0.7178783416748047,31
astar,26,76,50,0.3132820129394531,32
castar,26,76,50,0.2949237823486328,32
hastar,4,55,51,0.4208087921142578,32
astar,7,29,14,0.1628398895263672,33
castar,7,19,12,0.07772445678710938,33
hastar,3,192,177,1.5311241149902344,33
astar,34,100,66,0.44798851013183594,34
castar,34,100,66,0.4298686981201172,34
hastar,6,90,84,0.7832050323486328,34
astar,47,464,93,3.384113311767578,35
castar,47,139,92,0.5578994750976562,35
hastar,6,1639,1598,25.339126586914062,35
astar,39,357,78,2.6068687438964844,36
castar,39,115,76,0.47397613525390625,36
hastar,6,1691,1412,21.111011505126953,36
