N,depth,density,distance
1,5,0.0,9
2,5,0.0,10
3,5,0.0,7
4,5,0.0,19
5,5,0.0,4
6,5,0.0,12
7,5,0.0,16
8,5,0.0,1
9,5,0.0,8
10,5,0.0,17
11,5,0.0,4
12,5,0.0,10
13,5,0.0,10
14,5,0.0,10
15,5,0.0,18
16,5,0.0,4
17,5,0.0,14
18,5,0.0,8
19,5,0.0,10
20,5,0.0,17
21,5,0.0,11
22,5,0.0,1
23,5,0.0,17
24,5,0.0,12
25,5,0.0,4
26,5,0.0,7
27,5,0.0,4
28,5,0.0,12
29,5,0.0,5
30,5,0.0,8
31,5,0.0,12
32,5,0.0,1
33,5,0.0,11
34,5,0.0,9
35,5,0.0,3
36,5,0.0,14
37,5,0.0,7
38,5,0.0,8
39,5,0.0,10
40,5,0.0,12
41,5,0.0,2
42,5,0.0,24
43,5,0.0,17
44,5,0.0,15
45,5,0.0,21
46,5,0.0,9
47,5,0.0,14
48,5,0.0,7
49,5,0.0,9
50,5,0.0,7
51,5,0.0,15
52,5,0.0,3
53,5,0.0,16
54,5,0.0,15
55,5,0.0,10
56,5,0.0,6
57,5,0.0,10
58,5,0.0,13
59,5,0.0,19
60,5,0.0,6
61,5,0.0,14
62,5,0.0,7
63,5,0.0,6
64,5,0.0,2
65,5,0.0,17
66,5,0.0,25
67,5,0.0,3
68,5,0.0,4
69,5,0.0,8
70,5,0.0,13
71,5,0.0,9
72,5,0.0,22
73,5,0.0,15
74,5,0.0,18
75,5,0.0,4
76,5,0.0,9
77,5,0.0,23
78,5,0.0,17
79,5,0.0,10
80,5,0.0,5
81,5,0.0,6
82,5,0.0,17
83,5,0.0,6
84,5,0.0,5
85,5,0.0,16
86,5,0.0,2
87,5,0.0,14
88,5,0.0,11
89,5,0.0,11
90,5,0.0,17
91,5,0.0,4
92,5,0.0,12
93,5,0.0,11
94,5,0.0,5
95,5,0.0,16
96,5,0.0,5
97,5,0.0,8
98,5,0.0,4
99,5,0.0,3
100,5,0.0,9
101,5,0.01,8
102,5,0.01,19
103,5,0.01,10
104,5,0.01,2
105,5,0.01,24
106,5,0.01,9
107,5,0.01,6
108,5,0.01,14
109,5,0.01,9
110,5,0.01,6
111,5,0.01,18
112,5,0.01,18
113,5,0.01,13
114,5,0.01,8
115,5,0.01,16
116,5,0.01,2
117,5,0.01,6
118,5,0.01,4
119,5,0.01,16
120,5,0.01,16
121,5,0.01,14
122,5,0.01,11
123,5,0.01,7
124,5,0.01,9
125,5,0.01,6
126,5,0.01,8
127,5,0.01,13
128,5,0.01,7
129,5,0.01,15
130,5,0.01,14
131,5,0.01,7
132,5,0.01,7
133,5,0.01,12
134,5,0.01,20
135,5,0.01,4
136,5,0.01,2
137,5,0.01,13
138,5,0.01,9
139,5,0.01,14
140,5,0.01,7
141,5,0.01,15
142,5,0.01,9
143,5,0.01,3
144,5,0.01,17
145,5,0.01,8
146,5,0.01,1
147,5,0.01,14
148,5,0.01,9
149,5,0.01,21
150,5,0.01,11
151,5,0.01,16
152,5,0.01,8
153,5,0.01,8
154,5,0.01,15
155,5,0.01,11
156,5,0.01,7
157,5,0.01,16
158,5,0.01,5
159,5,0.01,13
160,5,0.01,11
161,5,0.01,16
162,5,0.01,5
163,5,0.01,14
164,5,0.01,12
165,5,0.01,9
166,5,0.01,18
167,5,0.01,1
168,5,0.01,14
169,5,0.01,4
170,5,0.01,10
171,5,0.01,10
172,5,0.01,16
173,5,0.01,9
174,5,0.01,14
175,5,0.01,9
176,5,0.01,10
177,5,0.01,18
178,5,0.01,10
179,5,0.01,11
180,5,0.01,11
181,5,0.01,7
182,5,0.01,9
183,5,0.01,10
184,5,0.01,6
185,5,0.01,7
186,5,0.01,8
187,5,0.01,2
188,5,0.01,20
189,5,0.01,6
190,5,0.01,5
191,5,0.01,3
192,5,0.01,9
193,5,0.01,4
194,5,0.01,10
195,5,0.01,11
196,5,0.01,17
197,5,0.01,16
198,5,0.01,13
199,5,0.01,3
200,5,0.01,19
201,5,0.02,7
202,5,0.02,7
203,5,0.02,4
204,5,0.02,13
205,5,0.02,5
206,5,0.02,11
207,5,0.02,9
208,5,0.02,5
209,5,0.02,22
210,5,0.02,18
211,5,0.02,8
212,5,0.02,11
213,5,0.02,15
214,5,0.02,4
215,5,0.02,8
216,5,0.02,9
217,5,0.02,10
218,5,0.02,9
219,5,0.02,10
220,5,0.02,7
221,5,0.02,10
222,5,0.02,7
223,5,0.02,8
224,5,0.02,25
225,5,0.02,8
226,5,0.02,10
227,5,0.02,23
228,5,0.02,9
229,5,0.02,4
230,5,0.02,23
231,5,0.02,4
232,5,0.02,12
233,5,0.02,14
234,5,0.02,20
235,5,0.02,4
236,5,0.02,7
237,5,0.02,9
238,5,0.02,11
239,5,0.02,7
240,5,0.02,6
241,5,0.02,16
242,5,0.02,13
243,5,0.02,9
244,5,0.02,9
245,5,0.02,8
246,5,0.02,11
247,5,0.02,12
248,5,0.02,5
249,5,0.02,8
250,5,0.02,12
251,5,0.02,7
252,5,0.02,2
253,5,0.02,14
254,5,0.02,14
255,5,0.02,9
256,5,0.02,5
257,5,0.02,5
258,5,0.02,21
259,5,0.02,9
260,5,0.02,22
261,5,0.02,6
262,5,0.02,11
263,5,0.02,8
264,5,0.02,9
265,5,0.02,7
